species,specimen,id,region,catalog,SL,image_area,x,y,direction,diameter,angle,type,diameter_SL
Cslo,Cslo2,Cslo2_R2,R2,MCZ128578,140.42,36.73425,4.843,4.54,ventral,0.236,-118.827,minute,0.001680672
Mbar,Mbar1,Mbar1_R2,R2,MCZ132342,247.86,31.273812,2.988,0.407,,0.236,NA,minute,0.00095215
Lgla,Lgla3,Lgla3_R2,R2,MCZ89460,42.28,16.116873,4.074,4.676,ventral,0.235,-93.62,serial,0.005558184
Pmic,Pmic3,Pmic3_R2,R2,MCZ70579,66.52,36.575,4.86,1.466,ventral,0.235,-87.563,serial,0.003532772
Tden,Tden3,Tden3_R2,R2,MCZ96771,60.34,14.969294,1.893,4.899,ventral,0.234,-64.537,serial,0.003878025
Mbar,Mbar3,Mbar3_R3,R3,MCZ132343,225.67,36.435,3.678,1.604,ventral,0.232,-89.442,minute,0.00102805
Cslo,Cslo2,Cslo2_R2,R2,MCZ128578,140.42,36.73425,0.724,1.006,ventral,0.23,-113.931,minute,0.001637943
Lgla,Lgla1,Lgla1_R2,R2,MCZ89460,79.83,14.73827,4.139,4.863,ventral,0.23,-114.92,serial,0.002881122
Pgue,Pgue1,Pgue1_R3,R3,MCZ131481,95.69,36.162,3.264,2.354,ventral,0.229,-68.23,serial,0.002393145
Pmic,Pmic3,Pmic3_R2,R2,MCZ70579,66.52,36.575,2.335,1.627,ventral,0.229,-88.727,serial,0.003442574
Sboa,Sboa1,Sboa1_R2,R2,MCZ129188,161.74,31.986293,6.303,4.042,ventral,0.229,-91.273,minute,0.001415853
Cslo,Cslo4,Cslo4_R2,R2,MCZ128954,135.9,33.68643,0.964,2.362,ventral,0.228,-71.966,minute,0.001677704
Cslo,Cslo2,Cslo2_R2,R2,MCZ128578,140.42,36.73425,6.711,4.446,ventral,0.226,-105.147,minute,0.001609457
Sboa,Sboa4,Sboa4_R2,R2,MCZ129188,146.84,35.890031,3.633,4.625,ventral,0.226,-99.56,minute,0.00153909
Tden,Tden2,Tden2_R2,R2,MCZ96771,57.81,17.81338,3.922,4.427,ventral,0.226,-128.66,serial,0.003909358
Mbar,Mbar3,Mbar3_R2,R2,MCZ132343,225.67,36.385114,1.876,2.686,,0.225,NA,minute,0.000997031
Ncap,Ncap3,Ncap3_R2,R2,MCZ41125,100.26,36.597561,1.373,3.934,ventral,0.225,-103.244,serial,0.002244165
Pmic,Pmic3,Pmic3_R2,R2,MCZ70579,66.52,36.575,2.34,1.632,ventral,0.225,-87.455,serial,0.003382441
Mbar,Mbar1,Mbar1_R2,R2,MCZ132342,247.86,31.273812,2.649,2.272,,0.224,NA,minute,0.000903736
Tden,Tden2,Tden2_R2,R2,MCZ96771,57.81,17.81338,1.945,4.449,ventral,0.224,-150.573,serial,0.003874762
Ebar,Ebar2,Ebar2_R3,R3,MCZ148300,126.32,35.724308,3.483,0.373,ventral,0.222,-74.863,minute,0.001757441
